threshold,precision,recall,f1,accuracy,alerts
0,0.6382978723404256,1.0,0.7792207792207793,0.7166666666666667,47
1,0.8214285714285714,0.7666666666666667,0.7931034482758621,0.8,28
2,0.8214285714285714,0.7666666666666667,0.7931034482758621,0.8,28
3,0.9047619047619048,0.6333333333333333,0.7450980392156863,0.7833333333333333,21
4,0.9375,0.5,0.6521739130434783,0.7333333333333333,16
5,0.9285714285714286,0.43333333333333335,0.5909090909090909,0.7,14
6,0.9090909090909091,0.3333333333333333,0.4878048780487805,0.65,11
7,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,5
8,1.0,0.06666666666666667,0.125,0.5333333333333333,2
9,0.0,0.0,0.0,0.5,0
10,0.0,0.0,0.0,0.5,0
11,0.0,0.0,0.0,0.5,0
12,0.0,0.0,0.0,0.5,0
13,0.0,0.0,0.0,0.5,0
14,0.0,0.0,0.0,0.5,0
15,0.0,0.0,0.0,0.5,0
16,0.0,0.0,0.0,0.5,0
17,0.0,0.0,0.0,0.5,0
18,0.0,0.0,0.0,0.5,0
19,0.0,0.0,0.0,0.5,0
20,0.0,0.0,0.0,0.5,0
