step,epoch,loss,grad_norm,learning_rate,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
50,0.076103500761035,0.44378669738769533,15.30716609954834,1.950279046169457e-05,,,,,,,,,,,,,
100,0.15220700152207,0.32137710571289063,14.973067283630371,1.899543378995434e-05,,,,,,,,,,,,,
150,0.228310502283105,0.23050861358642577,1.4679837226867676,1.8488077118214104e-05,,,,,,,,,,,,,
200,0.30441400304414,0.2851871490478516,39.140899658203125,1.7980720446473872e-05,,,,,,,,,,,,,
250,0.380517503805175,0.1990492057800293,6.884344577789307,1.7473363774733637e-05,,,,,,,,,,,,,
300,0.45662100456621,0.1990064811706543,7.335239410400391,1.6966007102993405e-05,,,,,,,,,,,,,
350,0.532724505327245,0.1567479705810547,31.921266555786133,1.6458650431253173e-05,,,,,,,,,,,,,
400,0.60882800608828,0.14730584144592285,24.033662796020508,1.5951293759512938e-05,,,,,,,,,,,,,
450,0.684931506849315,0.16224382400512696,93.1790542602539,1.5443937087772706e-05,,,,,,,,,,,,,
500,0.76103500761035,0.16015054702758788,0.16916120052337646,1.493658041603247e-05,,,,,,,,,,,,,
550,0.837138508371385,0.13378148078918456,67.810302734375,1.4429223744292239e-05,,,,,,,,,,,,,
600,0.91324200913242,0.15879212379455565,13.237042427062988,1.3921867072552005e-05,,,,,,,,,,,,,
650,0.989345509893455,0.13001876831054687,1.0781899690628052,1.3414510400811771e-05,,,,,,,,,,,,,
657,1.0,,,,0.20265907049179077,0.9295958279009127,0.9875346260387812,0.9576897246474144,0.9580279813457695,78.4821,19.125,1.198,,,,,
700,1.06544901065449,0.12393929481506348,12.408567428588867,1.2907153729071538e-05,,,,,,,,,,,,,
750,1.1415525114155252,0.09178537368774414,38.020259857177734,1.2399797057331304e-05,,,,,,,,,,,,,
800,1.21765601217656,0.04703525066375733,0.0753033459186554,1.189244038559107e-05,,,,,,,,,,,,,
850,1.2937595129375952,0.09437296867370605,12.136311531066895,1.1385083713850837e-05,,,,,,,,,,,,,
900,1.36986301369863,0.07692044258117675,0.23613329231739044,1.0877727042110604e-05,,,,,,,,,,,,,
950,1.4459665144596652,0.046232380867004395,0.015348401851952076,1.037037037037037e-05,,,,,,,,,,,,,
1000,1.5220700152207,0.10776647567749023,0.17664040625095367,9.863013698630138e-06,,,,,,,,,,,,,
1050,1.5981735159817352,0.1039380168914795,36.772430419921875,9.355657026889904e-06,,,,,,,,,,,,,
1100,1.6742770167427703,0.09319919586181641,0.07636329531669617,8.848300355149671e-06,,,,,,,,,,,,,
1150,1.7503805175038052,0.047051830291748045,0.055466264486312866,8.340943683409437e-06,,,,,,,,,,,,,
1200,1.82648401826484,0.09742664337158204,0.04400137439370155,7.833587011669204e-06,,,,,,,,,,,,,
1250,1.9025875190258752,0.07317710399627686,0.03619004786014557,7.32623033992897e-06,,,,,,,,,,,,,
1300,1.9786910197869103,0.027481036186218263,0.02233131416141987,6.8188736681887366e-06,,,,,,,,,,,,,
1314,2.0,,,,0.13200870156288147,0.9764216366158114,0.9750692520775623,0.9757449757449758,0.9766822118587608,61.9104,24.245,1.518,,,,,
1350,2.0547945205479454,0.04030590534210205,0.03868233412504196,6.311516996448504e-06,,,,,,,,,,,,,
1400,2.13089802130898,0.017291183471679687,0.05255500227212906,5.80416032470827e-06,,,,,,,,,,,,,
1450,2.207001522070015,0.014111757278442383,0.013474877923727036,5.296803652968037e-06,,,,,,,,,,,,,
1500,2.2831050228310503,0.008086010217666625,0.006807257421314716,4.789446981227803e-06,,,,,,,,,,,,,
1550,2.359208523592085,0.008467409014701843,0.02380106784403324,4.2820903094875695e-06,,,,,,,,,,,,,
1600,2.43531202435312,0.03666290760040283,0.026679283007979393,3.7747336377473363e-06,,,,,,,,,,,,,
1650,2.5114155251141552,0.05431144714355469,0.21100838482379913,3.267376966007103e-06,,,,,,,,,,,,,
1700,2.5875190258751903,0.06266043663024902,6.527040004730225,2.7600202942668696e-06,,,,,,,,,,,,,
1750,2.6636225266362255,0.015729368925094606,0.06815687566995621,2.2526636225266364e-06,,,,,,,,,,,,,
1800,2.73972602739726,0.03554072856903076,0.015543622896075249,1.7453069507864028e-06,,,,,,,,,,,,,
1850,2.8158295281582952,0.013523757457733154,25.455644607543945,1.2379502790461694e-06,,,,,,,,,,,,,
1900,2.8919330289193304,0.024282102584838868,0.023859726265072823,7.305936073059361e-07,,,,,,,,,,,,,
1950,2.968036529680365,0.03208115816116333,0.011865377426147461,2.2323693556570268e-07,,,,,,,,,,,,,
1971,3.0,,,,0.1530158519744873,0.9697802197802198,0.9778393351800554,0.9737931034482759,0.9746835443037974,50.2246,29.886,1.872,,,,,
1971,3.0,,,,,,,,,,,,11846.2628,2.661,0.166,2073380894000640.0,0.10493548736845643
